# Final state angular momentum:   1
# Broadening parameter (in eV):    0.350
# Absorbing atom type (xiabs):   1
# Energy (eV)   sigma
   14.67467467    0.00723332
   14.72472472    0.00714601
   14.77477477    0.00707899
   14.82482482    0.00703100
   14.87487487    0.00700076
   14.92492492    0.00698700
   14.97497497    0.00698852
   15.02502503    0.00700420
   15.07507508    0.00703310
   15.12512513    0.00707439
   15.17517518    0.00712742
   15.22522523    0.00719167
   15.27527528    0.00726673
   15.32532533    0.00735225
   15.37537538    0.00744790
   15.42542543    0.00755325
   15.47547548    0.00766775
   15.52552553    0.00779060
   15.57557558    0.00792067
   15.62562563    0.00805639
   15.67567568    0.00819568
   15.72572573    0.00833589
   15.77577578    0.00847372
   15.82582583    0.00860536
   15.87587588    0.00872647
   15.92592593    0.00883248
   15.97597598    0.00891884
   16.02602603    0.00898137
   16.07607608    0.00901669
   16.12612613    0.00902254
   16.17617618    0.00899805
   16.22622623    0.00894388
   16.27627628    0.00886213
   16.32632633    0.00875616
   16.37637638    0.00863022
   16.42642643    0.00848905
   16.47647648    0.00833748
   16.52652653    0.00818009
   16.57657658    0.00802093
   16.62662663    0.00786335
   16.67667668    0.00770990
   16.72672673    0.00756234
   16.77677678    0.00742167
   16.82682683    0.00728821
   16.87687688    0.00716174
   16.92692693    0.00704162
   16.97697698    0.00692693
   17.02702703    0.00681662
   17.07707708    0.00670964
   17.12712713    0.00660507
   17.17717718    0.00650218
   17.22722723    0.00640057
   17.27727728    0.00630011
   17.32732733    0.00620100
   17.37737738    0.00610374
   17.42742743    0.00600902
   17.47747748    0.00591770
   17.52752753    0.00583069
   17.57757758    0.00574891
   17.62762763    0.00567319
   17.67767768    0.00560421
   17.72772773    0.00554246
   17.77777778    0.00548817
   17.82782783    0.00544130
   17.87787788    0.00540148
   17.92792793    0.00536802
   17.97797798    0.00533986
   18.02802803    0.00531560
   18.07807808    0.00529354
   18.12812813    0.00527171
   18.17817818    0.00524797
   18.22822823    0.00522013
   18.27827828    0.00518609
   18.32832833    0.00514399
   18.37837838    0.00509240
   18.42842843    0.00503040
   18.47847848    0.00495768
   18.52852853    0.00487457
   18.57857858    0.00478200
   18.62862863    0.00468143
   18.67867868    0.00457466
   18.72872873    0.00446373
   18.77877878    0.00435073
   18.82882883    0.00423767
   18.87887888    0.00412637
   18.92892893    0.00401838
   18.97897898    0.00391496
   19.02902903    0.00381703
   19.07907908    0.00372520
   19.12912913    0.00363979
   19.17917918    0.00356088
   19.22922923    0.00348832
   19.27927928    0.00342177
   19.32932933    0.00336077
   19.37937938    0.00330476
